Model_Index,nparents,nzr,zdr,cardinality,Iteration,cause,effect,query,Gibbs_Sampling,Time_gibbs,Metropolis_Hastings,Time_mh,Exact_Probability,Metropolis_Hastings_AlwaysTrue,exact_result,Time_Metropolis_Hastings_AlwaysTrue,Acceptance_Rate_Metropolis_Hastings_AlwaysTrue,Metropolis_Hastings_Exclude_Outliers,Time_Metropolis_Hastings_Exclude_Outliers,Acceptance_Rate_Metropolis_Hastings_Exclude_Outliers,Metropolis_Hastings_Parallel_Tempering,Time_Metropolis_Hastings_Parallel_Tempering,Acceptance_Rate_Metropolis_Hastings_Parallel_Tempering,Metropolis_Hastings_Swandsen_Wang,Time_Metropolis_Hastings_Swandsen_Wang,Acceptance_Rate_Metropolis_Hastings_Swandsen_Wang,Metropolis_Hastings_Zanella,Time_Metropolis_Hastings_Zanella,Acceptance_Rate_Metropolis_Hastings_Zanella
0,2,10,10,2,1000,V1,V0,PS,"[0.7481362650138518, 0.9047619123734412]",11.267512559890749,"[0.726488902929901, 0.8842468283756596]",1.7576236724853516,"[0.7210247097808495, 0.9844883031342316]","[0.5105035694212473, 0.6357113599577287]","[0.7210247097808495, 0.9844883031342316]",1.910334825515747,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.726488902929901, 0.8842468283756596]",1.855161428451538,"{'V3': 0.3329, 'V4': 1.0, 'V5': 1.0}","[0.7331157495844768, 0.9245479573264563]",5.323907136917114,,"[0.5258729184804142, 0.6204321606947982]",1.6580188274383545,,"[0.7183131475443325, 0.9193839526567421]",4.262601613998413,
0,2,10,10,2,1000,V2,V0,PS,"[0.2960536309910381, 0.7269133682678524]",11.267512559890749,"[0.33781192094064527, 0.7276771339362679]",1.7576236724853516,"[0.319276664128295, 0.7405762080357261]","[0.41113407645147465, 0.5544592542291483]","[0.319276664128295, 0.7405762080357261]",1.910334825515747,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.33781192094064527, 0.7276771339362679]",1.855161428451538,"{'V3': 0.3329, 'V4': 1.0, 'V5': 1.0}","[0.38504909428454515, 0.7249402171348142]",5.323907136917114,,"[0.468864510338324, 0.5992209560310268]",1.6580188274383545,,"[0.3275879051572735, 0.7099558998043508]",4.262601613998413,
0,2,10,10,2,1000,V1,V0,PN,"[0.664532439759638, 0.8298636958131183]",11.267512559890749,"[0.6595777608909057, 0.8061364657649384]",1.7576236724853516,"[0.6506208706901839, 0.8883587875430508]","[0.5151326510171907, 0.63506089365954]","[0.6506208706901839, 0.8883587875430508]",1.910334825515747,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.6595777608909057, 0.8061364657649384]",1.855161428451538,"{'V3': 0.3329, 'V4': 1.0, 'V5': 1.0}","[0.6798021868742052, 0.8611043863293079]",5.323907136917114,,"[0.481237438055621, 0.5777058014312063]",1.6580188274383545,,"[0.6556184501573413, 0.8310068849468567]",4.262601613998413,
0,2,10,10,2,1000,V2,V0,PN,"[0.20572406050764971, 0.5071144405386065]",11.267512559890749,"[0.2447273066138296, 0.5793571897084725]",1.7576236724853516,"[0.2282307110005323, 0.5293911315803326]","[0.4056453582666414, 0.5438427572571243]","[0.2282307110005323, 0.5293911315803326]",1.910334825515747,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.2447273066138296, 0.5793571897084725]",1.855161428451538,"{'V3': 0.3329, 'V4': 1.0, 'V5': 1.0}","[0.25634688608347006, 0.5755587555705373]",5.323907136917114,,"[0.42671431535126747, 0.5479178588119986]",1.6580188274383545,,"[0.22470578297514168, 0.5345006391371685]",4.262601613998413,
0,2,10,10,2,2000,V1,V0,PS,"[0.7284826712355033, 0.9238376806386284]",22.48856782913208,"[0.7312342464959098, 0.8850082707134386]",3.425746440887451,"[0.7210247097808495, 0.9844883031342316]","[0.5046406061661872, 0.6445046782038758]","[0.7210247097808495, 0.9844883031342316]",3.626733541488648,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.7361845091875799, 0.8821864544761595]",3.62397813796997,"{'V3': 0.3243725, 'V4': 1.0, 'V5': 1.0}","[0.7149419087843996, 0.9245479573264563]",10.521149158477783,,"[0.5165503665984371, 0.6244623342663258]",3.1845738887786865,,"[0.6916954075237272, 0.9225400572470951]",8.402128458023071,
0,2,10,10,2,2000,V2,V0,PS,"[0.32542257795108637, 0.6849891430542056]",22.48856782913208,"[0.3117305537150512, 0.7276771339362679]",3.425746440887451,"[0.319276664128295, 0.7405762080357261]","[0.41113407645147465, 0.5544592542291483]","[0.319276664128295, 0.7405762080357261]",3.626733541488648,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.3117305537150512, 0.7394563735497308]",3.62397813796997,"{'V3': 0.3243725, 'V4': 1.0, 'V5': 1.0}","[0.3570076223101945, 0.7249402171348142]",10.521149158477783,,"[0.468864510338324, 0.5992209560310268]",3.1845738887786865,,"[0.30864960053183854, 0.7099558998043508]",8.402128458023071,
0,2,10,10,2,2000,V1,V0,PN,"[0.65487805555886, 0.8429805274051622]",22.48856782913208,"[0.6655538708332777, 0.7970575310154018]",3.425746440887451,"[0.6506208706901839, 0.8883587875430508]","[0.49402838444547315, 0.6466910606190308]","[0.6506208706901839, 0.8883587875430508]",3.626733541488648,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.6674591532994364, 0.7970575310154018]",3.62397813796997,"{'V3': 0.3243725, 'V4': 1.0, 'V5': 1.0}","[0.6532247759130797, 0.8611043863293079]",10.521149158477783,,"[0.43487221482442384, 0.5825983463891803]",3.1845738887786865,,"[0.6404030611812872, 0.8356771064217053]",8.402128458023071,
0,2,10,10,2,2000,V2,V0,PN,"[0.22498318046939492, 0.5012968075127058]",22.48856782913208,"[0.2163148854768898, 0.5339092570468135]",3.425746440887451,"[0.2282307110005323, 0.5293911315803326]","[0.4056453582666414, 0.5438427572571243]","[0.2282307110005323, 0.5293911315803326]",3.626733541488648,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.2122368351847966, 0.5628068255546517]",3.62397813796997,"{'V3': 0.3243725, 'V4': 1.0, 'V5': 1.0}","[0.25634688608347006, 0.5755587555705373]",10.521149158477783,,"[0.39572647299346386, 0.5479178588119986]",3.1845738887786865,,"[0.21001586238343978, 0.5345006391371685]",8.402128458023071,
0,2,10,10,2,3000,V1,V0,PS,"[0.7284826712355033, 0.9238376806386284]",33.72076654434204,"[0.7315263835522912, 0.8924570131057791]",5.791496276855469,"[0.7210247097808495, 0.9844883031342316]","[0.49159606831844194, 0.6515255821525751]","[0.7210247097808495, 0.9844883031342316]",5.505731821060181,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.7320641676607204, 0.8924570131057791]",5.536837577819824,"{'V3': 0.325483, 'V4': 1.0, 'V5': 1.0}","[0.7149419087843996, 0.9245479573264563]",15.991639852523804,,"[0.5165503665984371, 0.6244623342663258]",4.887998342514038,,"[0.6916954075237272, 0.9225400572470951]",12.943431377410889,
0,2,10,10,2,3000,V2,V0,PS,"[0.34496101239905724, 0.6987425697813274]",33.72076654434204,"[0.3483700120671693, 0.7115673019941904]",5.791496276855469,"[0.319276664128295, 0.7405762080357261]","[0.41113407645147465, 0.5592765078324214]","[0.319276664128295, 0.7405762080357261]",5.505731821060181,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.3483700120671693, 0.7276771339362679]",5.536837577819824,"{'V3': 0.325483, 'V4': 1.0, 'V5': 1.0}","[0.3425158987132988, 0.7249402171348142]",15.991639852523804,,"[0.468864510338324, 0.5992209560310268]",4.887998342514038,,"[0.30864960053183854, 0.7313950729477267]",12.943431377410889,
0,2,10,10,2,3000,V1,V0,PN,"[0.65487805555886, 0.8440920199148633]",33.72076654434204,"[0.6624796422198925, 0.8045151489565074]",5.791496276855469,"[0.6506208706901839, 0.8883587875430508]","[0.49402838444547315, 0.6466910606190308]","[0.6506208706901839, 0.8883587875430508]",5.505731821060181,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.6655538708332777, 0.8061364657649384]",5.536837577819824,"{'V3': 0.325483, 'V4': 1.0, 'V5': 1.0}","[0.6532247759130797, 0.8611043863293079]",15.991639852523804,,"[0.43487221482442384, 0.5867608761793767]",4.887998342514038,,"[0.6354822747185189, 0.8356771064217053]",12.943431377410889,
0,2,10,10,2,3000,V2,V0,PN,"[0.23902720280520073, 0.5135016993641389]",33.72076654434204,"[0.2414676812046696, 0.5228841571137696]",5.791496276855469,"[0.2282307110005323, 0.5293911315803326]","[0.4056453582666414, 0.5480859921498432]","[0.2282307110005323, 0.5293911315803326]",5.505731821060181,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.23777171649008408, 0.5445011143382945]",5.536837577819824,"{'V3': 0.325483, 'V4': 1.0, 'V5': 1.0}","[0.2235248863032204, 0.5755587555705373]",15.991639852523804,,"[0.39572647299346386, 0.5479178588119986]",4.887998342514038,,"[0.21001586238343978, 0.5557329317606997]",12.943431377410889,
0,2,10,10,2,4000,V1,V0,PS,"[0.7284826712355033, 0.9356657069672638]",44.976661920547485,"[0.7320641676607204, 0.9003294110037999]",7.448679685592651,"[0.7210247097808495, 0.9844883031342316]","[0.49159606831844194, 0.6633630264977126]","[0.7210247097808495, 0.9844883031342316]",7.247988700866699,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}","[0.7290378423352636, 0.9003294110037999]",7.367638349533081,"{'V3': 0.3243065, 'V4': 1.0, 'V5': 1.0}","[0.7132022928111484, 0.9294446736332804]",21.42982125282288,,"[0.5165503665984371, 0.6296405694212832]",6.421019554138184,,"[0.6916954075237272, 0.9225400572470951]",17.122577905654907,
