Unique_Query_ID,Model_Index,nparents,nzr,zdr,cardinality,Iteration,cause,effect,query,Method,Estimate,exact_result,Time,Acceptance_Rate
M0_PS_V1_V0,0,2,6,10,2,1000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3799652312831138, 0.5370390087656866]","[0.2736590312739113, 0.8578002237121861]",1.7171528339385986,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,1000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.6058109727853472, 0.7218103555811086]","[0.4315392596872229, 0.7418362160518728]",1.7171528339385986,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,1000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1796961190943447, 0.27941688762981737]","[0.0692730168265684, 0.2171403189378801]",1.7171528339385986,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,1000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4421391302501192, 0.5643154632002556]","[0.1477152150064806, 0.253929378831302]",1.7171528339385986,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,2000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3799652312831138, 0.5370390087656866]","[0.2736590312739113, 0.8578002237121861]",3.25581955909729,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,2000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5994019862249121, 0.7260693054179282]","[0.4315392596872229, 0.7418362160518728]",3.25581955909729,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,2000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.28199727276727915]","[0.0692730168265684, 0.2171403189378801]",3.25581955909729,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,2000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4421391302501192, 0.5643154632002556]","[0.1477152150064806, 0.253929378831302]",3.25581955909729,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,3000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.37632738006826133, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",4.99847674369812,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,3000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5994019862249121, 0.7260693054179282]","[0.4315392596872229, 0.7418362160518728]",4.99847674369812,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,3000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.2905682199288628]","[0.0692730168265684, 0.2171403189378801]",4.99847674369812,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,3000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4421391302501192, 0.5643154632002556]","[0.1477152150064806, 0.253929378831302]",4.99847674369812,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,4000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.37632738006826133, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",6.557491302490234,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,4000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",6.557491302490234,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,4000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.2905682199288628]","[0.0692730168265684, 0.2171403189378801]",6.557491302490234,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,4000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4421391302501192, 0.5689921846991759]","[0.1477152150064806, 0.253929378831302]",6.557491302490234,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,5000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.37632738006826133, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",8.115289449691772,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,5000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",8.115289449691772,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,5000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.2905682199288628]","[0.0692730168265684, 0.2171403189378801]",8.115289449691772,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,5000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4421391302501192, 0.5689921846991759]","[0.1477152150064806, 0.253929378831302]",8.115289449691772,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,6000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3585850276678381, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",9.657126665115356,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,6000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",9.657126665115356,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,6000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.2905682199288628]","[0.0692730168265684, 0.2171403189378801]",9.657126665115356,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,6000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.4421391302501192, 0.5689921846991759]","[0.1477152150064806, 0.253929378831302]",9.657126665115356,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,7000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3585850276678381, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V2_V0,0,2,6,10,2,7000,V2,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.5964672532821059, 0.7375012682845692]","[0.4315392596872229, 0.7418362160518728]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V1_V0,0,2,6,10,2,7000,V1,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.1774687469329511, 0.2905682199288628]","[0.0692730168265684, 0.2171403189378801]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PN_V2_V0,0,2,6,10,2,7000,V2,V0,PN,Metropolis_Hastings_AlwaysTrue,"[0.43961860474350023, 0.5774392102919209]","[0.1477152150064806, 0.253929378831302]",11.235511302947998,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
M0_PS_V1_V0,0,2,6,10,2,8000,V1,V0,PS,Metropolis_Hastings_AlwaysTrue,"[0.3585850276678381, 0.546984433850411]","[0.2736590312739113, 0.8578002237121861]",13.293428421020508,"{'V3': 1.0, 'V4': 1.0, 'V5': 1.0}"
