alt_LandUse_1_Env093_BUILT,alt_LandUse_1_Env094_INTENSIVE,alt_LandUse_1_Env095_HERBCROPS,alt_LandUse_1_Env096_WoodCrops,alt_LandUse_1_Env097_HETEROGENEO,alt_LandUse_1_Env098_Natural,alt_LandUse_1_Env99_MainLU,Climate_Env001_Tref,Climate_Env002_PPTref,Climate_Env003_ET0ref,Climate_Env004_Rad,Climate_Env006_Snow,Climate_Env007_WaterBal,Topography_Env013_Slope,Topography_Env015_Zmean,Topography_Env104_MGU_litt,social_1_S042_Pdens,social_1_S003_MsR,social_1_S007_EGR,social_1_S008_DT,social_1_S013_IME,social_1_S015_ODI,social_1_S036_Tbmortalid,social_1_S040_Tbnatalidad,Topography_S048_distBigCity,econ_Education_1_S042_literacyIndex,econ_Education_1_S043_enrollmentIndex,econ_Education_1_S044_eduIndex,social_1_S46_HDI,social_1_Ec001_ActR,altEconomyClass_1_Ec108_Paro,altEconomyClass_1_Ec109_incomePerCapita,altEconomyClass_1_Ec110_incomeIndex,altEconomyClass_1_Ec077_EarnedIncome,econ_Education_1_Ec111_Illiterate,econ_Education_1_Ec_112_NoStudies,econ_Education_1_Ec91_EduPrimHab,econ_Education_1_Ec92_EduSecunHab,econ_Education_1_Ec93_EduBachiHab,econ_Education_1_Ec94_EduUnivHab,altEconomyClass_1_Ec113_Education,altEconomyClass_1_Ec095_OcuPrimHab,altEconomyClass_1_Ec096_OcuSecunHab,altEconomyClass_1_Ec097_OcuTradingHab,altEconomyClass_1_Ec098_OcuHospitalityHab,altEconomyClass_1_Ec100_OcuBankingHab,altEconomyClass_1_Ec101_OcuServicesHab,altEconomyClass_1_Ec109_OcuTradBankServHab,ecosystemServices_1_Env104_TraditionalAgriculture ,ecosystemServices_1_Env105_IntensiveAgriculture ,ecosystemServices_1_Env106_Shepherding ,ecosystemServices_1_Env107_ForestHarvesting ,ecosystemServices_1_Env108_FiberHarvesting ,ecosystemServices_1_Env109_Freshwater ,ecosystemServices_1_Env110_CleanEnergy ,ecosystemServices_1_Env111_Timber ,ecosystemServices_1_Env112_Apiculture ,ecosystemServices_1_Env113_MedicinalCompounds ,ecosystemServices_1_Env114_AirQuality ,ecosystemServices_1_Env115_MicroclimateRegulation ,ecosystemServices_1_Env116_HabitatSpecies ,ecosystemServices_1_Env117_WaterRegulation ,ecosystemServices_1_Env118_WaterQuality ,ecosystemServices_1_Env119_ErosionControlSoilProtection,ecosystemServices_1_Env120_SoilFertility ,ecosystemServices_1_Env121_SeedDispersal ,ecosystemServices_1_Env122_Pollination ,ecosystemServices_1_Env123_BiologicalInvasionsPlaguesPrevention,ecosystemServices_1_Env124_NaturalAccidentsMitigation,ecosystemServices_1_Env125_SatisfactionConservingSpecies,ecosystemServices_1_Env126_Relaxation ,ecosystemServices_1_Env127_TraditionalEcologicalKnowledge,ecosystemServices_1_Env128_ScienticKnowledge ,ecosystemServices_1_Env129_EnvironmentalEducation ,ecosystemServices_1_Env130_RecreationalHunting ,ecosystemServices_1_Env131_Tourism ,ecosystemServices_1_Env132_AestheticValues ,ecosystemServices_1_Env133_LocalIdentity
Scarce,Scarce,Fair,Fair,Scarce,Fair,Woody crops,High,Low,Low,Low,None,Low,Moderate,Low,Baetic Systems,Moderate,More males,Increase,Moderately to doubling time,Immigration,Moderate,Moderate,Moderate,Near,Moderate,Moderate,Moderate,Low,Average,High,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Moderate,Low,No studies,Low,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Low,Moderate,Low,Low,Moderate,High,Moderate,Moderate,High,High,Moderate,Low,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,Moderate,High
Scarce,Scarce,Fair,Scarce,Fair,Fair,Natural land,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Baetic Systems,Moderate,More females,Increase,Slowly to doubling time,Immigration,Low,Moderate,Moderate,Moderate,High,High,High,High,Average,Average,High,High,Moderate,Low,Moderate,Low,Moderate,High,Moderate,High school or higher,Low,Moderate,High,High,High,High,High,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Moderate,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,High,Moderate,High
Scarce,Scarce,Scarce,Fair,Scarce,Fair,Natural land,Low,Low,Low,Low,None,Moderate,Steep,Moderate,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Emigration,High,Moderate,Moderate,Near,Moderate,High,Moderate,Moderate,Low,Average,Low,Low,Low,Moderate,High,Low,Low,Moderate,Low,No studies,Low,Low,Low,Low,Moderate,Low,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,High
Scarce,Scarce,Scarce,Fair,Scarce,Fair,Natural land,Moderate,Low,Moderate,Moderate,None,Low,Steep,Moderate,Baetic Systems,Low,More males,Increase,Moderately to doubling time,Immigration,High,High,Low,Near,Moderate,Moderate,Low,Low,Low,High,Low,Low,Low,High,High,Low,Low,Moderate,Moderate,No studies,Moderate,Low,Low,Moderate,Low,Moderate,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Fair,Dominant,Natural land,Moderate,Low,Moderate,Moderate,None,Low,Steep,Moderate,Baetic Systems,Moderate,More males,Decrease,Slowly to halftime,Immigration,Moderate,Low,Low,Near,High,High,High,Low,Average,High,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,High,High school or higher,Moderate,Moderate,Low,High,Low,High,Moderate,Low,Low,Moderate,Moderate,High,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Fair,Scarce,Dominant,Scarce,Scarce,Fair,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,Moderate,More females,Increase,Slowly to doubling time,Emigration,Low,Low,Moderate,Moderate,Moderate,Moderate,Low,Low,High,High,Low,Moderate,Low,Moderate,Low,High,Low,Low,Low,Elementary school,Moderate,Moderate,Low,Low,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Low,Very low,Moderate,Moderate,None,Low,Flat,High,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Immigration,High,Low,Low,Near,High,High,High,Moderate,Low,Average,Low,Moderate,Low,Low,High,Low,Moderate,Moderate,Moderate,No studies,Low,Low,High,Low,Moderate,Low,Low,Low,Low,Low,Moderate,Moderate,Moderate,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,High,High,High,High,High,High,High,High,High,Moderate
Scarce,Scarce,Scarce,Scarce,Scarce,Dominant,Natural land,Low,Low,Low,Low,Low,Low,Steep,Moderate,Baetic Systems,Moderate,More males,Increase,Moderately to doubling time,Immigration,Moderate,Moderate,Moderate,Near,Low,High,Moderate,Moderate,Average,Average,Moderate,Moderate,Moderate,High,Moderate,Low,Moderate,Moderate,Moderate,High school or higher,Low,Low,Moderate,High,Moderate,Moderate,Moderate,Low,Low,Moderate,Moderate,Moderate,Low,Low,High,High,High,High,High,High,High,High,High,High,High,High,Low,Moderate,Moderate,Moderate,High,High,High,High,Moderate,Moderate,Moderate
Scarce,Scarce,Scarce,Fair,Fair,Fair,Woody crops,Low,Low,Low,Low,None,Low,Steep,Moderate,Baetic Systems,Low,More males,Decrease,Moderately to halftime,Emigration,Moderate,Moderate,Low,Near,Moderate,Moderate,Low,Low,Low,Average,Low,Low,Low,High,Moderate,Moderate,Moderate,Low,Low,Elementary school,Moderate,Low,Moderate,Low,Low,Low,Low,Moderate,Low,Moderate,Moderate,Moderate,Low,Low,Moderate,High,Moderate,High,High,High,Moderate,Moderate,High,Moderate,Moderate,High,Low,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,High
Fair,Scarce,Dominant,Scarce,Scarce,Scarce,Herbaceous crops,High,Low,High,High,None,Low,Flat,Low,Baetic Depression,High,More males,Increase,Moderately to doubling time,Immigration,Low,Low,High,Near,Moderate,High,Moderate,Low,High,High,Low,Low,Low,High,Moderate,Moderate,Moderate,Low,Low,Elementary school,Low,Moderate,Moderate,Low,Low,Low,Low,High,Moderate,Moderate,Low,Moderate,Low,Low,Low,Moderate,Moderate,Low,Low,High,Low,Low,Low,Low,Low,High,Low,Low,Low,Low,High,Moderate,Low,Low,Moderate,Low,Moderate
