,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,31511.436462402344,933.57253074646,False,1000,0.0280539,0.03752366,0.0005662411869256026,0.0005662411869256026,inf,0.03256855993399902,1
1,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,44906.376123428345,1767.1482563018799,False,1000,0.0280539,0.03752366,0.0005662411869256026,0.10161304203904103,0.48799511446052224,0.049310345147697665,2
2,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,58434.40890312195,2608.6461544036865,False,1000,0.0280539,0.03752366,0.0003675207049752811,0.10161304203904103,0.48758602835209824,0.04936590163571475,3
3,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,72907.68647193909,3533.787727355957,False,1000,0.0280539,0.03752366,6.048315457858491e-05,0.10161304203904103,0.48696363045851565,0.049452402756730025,4
4,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,86715.05689620972,4393.137693405151,False,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,5
5,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,100518.11242103577,5208.407640457153,False,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,6
6,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,114325.99306106567,6112.496376037598,False,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,7
7,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,128175.21953582764,6921.6814041137695,False,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,8
8,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,142310.2831840515,7812.621355056763,False,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,9
9,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,156549.5946407318,8717.897891998291,False,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,10
