,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,35953.76420021057,171.88644409179688,False,1000,0.1708037925,0.4919019990000001,0.23950823322510456,0.37572183601555936,0.700674683286591,0.13497455481104806,5
1,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,68843.90115737915,297.58191108703613,False,1000,0.1708037925,0.4919019990000001,0.22693619557700212,0.5243564652941693,0.15415335290812993,0.06483933264337632,10
2,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,99470.53670883179,627.0496845245361,False,1000,0.1708037925,0.4919019990000001,0.14248600038863599,0.6110008060794966,0.18476115931120163,0.12241904752864873,15
3,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,129903.09524536133,554.7342300415039,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,20
4,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,155418.00594329834,687.9029273986816,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,25
5,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,180245.73254585266,784.3422889709473,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,30
6,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,208011.17610931396,1080.815076828003,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,35
7,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,233520.25842666626,1141.279935836792,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,40
8,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,259269.4113254547,1171.8661785125732,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,45
9,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,285801.4645576477,1326.0140419006348,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,50
10,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,309488.2199764252,1437.5038146972656,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,55
11,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,333883.12315940857,1640.787124633789,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,60
12,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,357945.7139968872,1828.0613422393799,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,65
13,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,382414.1511917114,1796.8761920928955,False,1000,0.1708037925,0.4919019990000001,0.07532471807471279,0.6110008060794966,0.20149671342539482,0.15264592854337342,70
14,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,406101.9341945648,2046.8926429748535,False,1000,0.1708037925,0.4919019990000001,0.030242484736423325,0.6110008060794966,0.2243150025182618,0.18423356667004537,75
15,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,429540.17090797424,2045.9516048431396,False,1000,0.1708037925,0.4919019990000001,0.030242484736423325,0.6110008060794966,0.2243150025182618,0.18423356667004537,80
16,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,453135.47945022583,2390.6304836273193,False,1000,0.1708037925,0.4919019990000001,0.030242484736423325,0.6110008060794966,0.2243150025182618,0.18423356667004537,85
17,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,477039.9353504181,2296.865940093994,False,1000,0.1708037925,0.4919019990000001,0.030242484736423325,0.6110008060794966,0.2243150025182618,0.18423356667004537,90
18,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,501601.1528968811,2515.620708465576,False,1000,0.1708037925,0.4919019990000001,0.030242484736423325,0.6134356463427159,0.225298197123367,0.1858168686546798,95
19,random_mc2_n5_mid3_d1000_05_mr098_r10_8,EMCC,V2,V4,,100,200,3,530636.9240283966,2729.036331176758,False,1000,0.1708037925,0.4919019990000001,0.030242484736423325,0.6134356463427159,0.225298197123367,0.1858168686546798,100
