,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,777.451753616333,61.8290901184082,1000,0.1708037925,0.4919019990000001,0.2627086804383024,0.3070530747765789,3.291779584964606,5
1,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,1557.4796199798584,123.06022644042969,1000,0.1708037925,0.4919019990000001,0.0033502047345397943,0.4850381811828067,0.24602440059757805,10
2,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,2381.5536499023438,172.3191738128662,1000,0.1708037925,0.4919019990000001,0.0033502047345397943,0.4891392900710651,0.24377592033200274,15
3,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,3193.984270095825,234.09509658813477,1000,0.1708037925,0.4919019990000001,0.17629294045287222,0.4891392900710651,0.013889573601009429,20
4,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,4024.186134338379,271.1341381072998,1000,0.1708037925,0.4919019990000001,0.17629294045287222,0.4891392900710651,0.013889573601009429,25
5,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,4833.056211471558,335.26086807250977,1000,0.1708037925,0.4919019990000001,0.17629294045287222,0.4891392900710651,0.013889573601009429,30
6,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,5657.597064971924,401.31402015686035,1000,0.1708037925,0.4919019990000001,0.17076269443512274,0.4891392900710651,0.006136589141890384,35
7,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,6476.625442504883,456.45976066589355,1000,0.1708037925,0.4919019990000001,0.17076269443512274,0.4891392900710651,0.006136589141890384,40
8,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,7290.455341339111,494.2178726196289,1000,0.1708037925,0.4919019990000001,0.17076269443512274,0.4891392900710651,0.006136589141890384,45
9,random_mc2_n5_mid3_d1000_05_mr098_r10_8,GDCC,V2,V4,1e-07,50,100,1,8112.903118133545,580.5120468139648,1000,0.1708037925,0.4919019990000001,0.17076269443512274,0.49978911929669817,0.01695034665438105,50
