,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,777.881383895874,51.93638801574707,True,2500,0.0139420482,0.0995220407,0.08333431209279646,0.08333431209279646,inf,0.050385160740182115,1
1,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,1570.3859329223633,100.65484046936035,True,2500,0.0139420482,0.0995220407,0.06331103409844983,0.08333431209279646,1.8347570542945482,0.03673785055022826,2
2,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,2347.8424549102783,150.84600448608398,True,2500,0.0139420482,0.0995220407,0.06331103409844983,0.08375488640889917,1.7925330867828904,0.036646281687783264,3
3,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,3143.7292098999023,199.80716705322266,True,2500,0.0139420482,0.0995220407,0.0505748697056395,0.08375488640889917,0.8499323385816938,0.028200769190781152,4
4,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,3940.4826164245605,248.7945556640625,True,2500,0.0139420482,0.0995220407,0.0410111309031174,0.08375488640889917,0.5182290093120805,0.022151054070039068,5
5,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,4786.204814910889,298.97117614746094,True,2500,0.0139420482,0.0995220407,0.03820225839197339,0.08375488640889917,0.4491341176714406,0.020459239391997307,6
6,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,5609.944105148315,351.5288829803467,True,2500,0.0139420482,0.0995220407,0.03820225839197339,0.08375488640889917,0.4491341176714406,0.020459239391997307,7
7,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,6431.020736694336,400.87342262268066,True,2500,0.0139420482,0.0995220407,0.03820225839197339,0.08375488640889917,0.4491341176714406,0.020459239391997307,8
8,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,7289.867162704468,451.507568359375,True,2500,0.0139420482,0.0995220407,0.021656270340885846,0.08375488640889917,0.1998746210185395,0.012411937352369949,9
9,random_mc2_n6_mid3_d1000_05_mr098_r10_72,GDCC_1e-05,V1,V5,1e-05,200,,0,8153.366327285767,500.9908676147461,True,2500,0.0139420482,0.0995220407,0.021656270340885846,0.08375488640889917,0.1998746210185395,0.012411937352369949,10
