,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,4801.918029785156,54.09598350524902,False,1000,0.00791105,0.013410082,0.013430056478730312,0.013430056478730312,inf,0.0039025524655068836,1
1,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,4860.480308532715,106.07194900512695,False,1000,0.00791105,0.013410082,0.009109113410993071,0.013430056478730312,0.19608601208235255,0.0008472764945874819,2
2,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,4924.16524887085,160.16006469726562,False,1000,0.00791105,0.013410082,0.009109113410993071,0.013430056478730312,0.19608601208235255,0.0008472764945874819,3
3,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,4993.641138076782,213.05584907531738,False,1000,0.00791105,0.013410082,0.009109113410993071,0.013430056478730312,0.19608601208235255,0.0008472764945874819,4
4,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5068.59827041626,267.6091194152832,False,1000,0.00791105,0.013410082,0.009109113410993071,0.014252858791195276,0.20136445922216323,0.0010357675068609173,5
5,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5149.128198623657,321.12956047058105,False,1000,0.00791105,0.013410082,0.009109113410993071,0.014252858791195276,0.20136445922216323,0.0010357675068609173,6
6,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5236.159324645996,373.98481369018555,False,1000,0.00791105,0.013410082,0.009109113410993071,0.014252858791195276,0.20136445922216323,0.0010357675068609173,7
7,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5328.432559967041,426.29432678222656,False,1000,0.00791105,0.013410082,0.008624902556448408,0.014252858791195276,0.13876788342013935,0.0007809795746769998,8
8,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5426.840782165527,480.0236225128174,False,1000,0.00791105,0.013410082,0.007832434813479847,0.014252858791195276,0.09322130264892534,0.000598520286761027,9
9,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5531.554698944092,533.7185859680176,False,1000,0.00791105,0.013410082,0.007832434813479847,0.014252858791195276,0.09322130264892534,0.000598520286761027,10
10,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5642.269134521484,588.1500244140625,False,1000,0.00791105,0.013410082,0.007832434813479847,0.014252858791195276,0.09322130264892534,0.000598520286761027,11
11,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5759.13405418396,646.8989849090576,False,1000,0.00791105,0.013410082,0.007520685427016242,0.014252858791195276,0.09755484463325881,0.000656756126586649,12
12,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,5882.216930389404,696.4950561523438,False,1000,0.00791105,0.013410082,0.007520685427016242,0.014252858791195276,0.09755484463325881,0.000656756126586649,13
13,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,6011.544466018677,749.121904373169,False,1000,0.00791105,0.013410082,0.007520685427016242,0.014252858791195276,0.09755484463325881,0.000656756126586649,14
14,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,6146.068572998047,806.2393665313721,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,15
15,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,6286.610126495361,858.8800430297852,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,16
16,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,6433.225870132446,912.8937721252441,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,17
17,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,6585.186958312988,963.5670185089111,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,18
18,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,6744.6324825286865,1016.892671585083,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,19
19,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,6908.764362335205,1068.6249732971191,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,20
20,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,7078.980922698975,1129.199743270874,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,21
21,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,7254.360914230347,1182.0871829986572,False,1000,0.00791105,0.013410082,0.007218468427011071,0.014252858791195276,0.10965322911837448,0.0007713436183119763,22
22,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,7435.086011886597,1237.8580570220947,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,23
23,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,7621.7358112335205,1298.0024814605713,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,24
24,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,7816.337108612061,1350.799798965454,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,25
25,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,8015.804290771484,1393.505573272705,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,26
26,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,8222.003698348999,1447.3860263824463,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,27
27,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,8434.873819351196,1505.943775177002,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,28
28,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,8652.724027633667,1699.5673179626465,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,29
29,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,8877.898693084717,1614.7613525390625,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,30
30,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,9104.982614517212,1660.8688831329346,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,31
31,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,9339.94746208191,1727.1370887756348,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,32
32,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,9581.71033859253,1770.399570465088,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,33
33,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,9828.535795211792,1822.8800296783447,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,34
34,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,10080.91688156128,1877.0010471343994,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,35
35,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,10337.746381759644,1928.321361541748,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,36
36,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,10600.096940994263,1981.5380573272705,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,37
37,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,10867.72346496582,2016.3781642913818,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,38
38,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,11140.899658203125,2058.990001678467,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,39
39,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,11417.633533477783,2118.246555328369,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,40
40,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,11702.227592468262,2315.7286643981934,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,41
41,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,11991.750955581665,2227.1792888641357,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,42
42,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,12286.736249923706,2279.4132232666016,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,43
43,random_mc2_n7_mid3_d1000_05_mr098_r10_46,GSCC,V1,V4,,200,,0,12588.940858840942,2335.1287841796875,False,1000,0.00791105,0.013410082,0.005739884861132443,0.014252858791195276,0.19345180138795218,0.0016468501419393297,44
