,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,867.0804500579834,81.12645149230957,False,1000,0.0,0.0,0.0,0.0,,0.0,1
1,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,1732.3718070983887,161.72027587890625,False,1000,0.0,0.0,0.0,0.0,,0.0,2
2,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,2618.178606033325,237.08772659301758,False,1000,0.0,0.0,0.0,0.0,,0.0,3
3,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,3506.228446960449,314.82625007629395,False,1000,0.0,0.0,0.0,0.0,,0.0,4
4,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,4397.458553314209,394.37007904052734,False,1000,0.0,0.0,0.0,0.0,,0.0,5
5,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,5297.755718231201,474.4386672973633,False,1000,0.0,0.0,0.0,0.0,,0.0,6
6,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,6205.824851989746,553.4253120422363,False,1000,0.0,0.0,0.0,0.0,,0.0,7
7,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,7124.6631145477295,637.8757953643799,False,1000,0.0,0.0,0.0,0.0,,0.0,8
8,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,8045.715093612671,825.0272274017334,False,1000,0.0,0.0,0.0,0.0,,0.0,9
9,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,8978.04880142212,789.1724109649658,False,1000,0.0,0.0,0.0,0.0,,0.0,10
10,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,9929.83341217041,867.2223091125488,False,1000,0.0,0.0,0.0,0.0,,0.0,11
11,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,10881.169080734253,948.8794803619385,False,1000,0.0,0.0,0.0,0.0,,0.0,12
12,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,11843.70493888855,1031.4550399780273,False,1000,0.0,0.0,0.0,0.0,,0.0,13
13,random_mc2_n8_mid3_d1000_05_mr098_r10_189,GDCC_1e-09,V4,V7,1e-09,200,,0,12808.057069778442,1104.264259338379,False,1000,0.0,0.0,0.0,0.0,,0.0,14
