,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,31492.762804031372,989.5942211151123,True,1000,0.0280539,0.03752366,0.0005662411869256026,0.0005662411869256026,inf,0.03256855993399902,1
1,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,44884.55605506897,1737.546682357788,True,1000,0.0280539,0.03752366,0.0005662411869256026,0.10161304203904103,0.48799511446052224,0.049310345147697665,2
2,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,58395.93052864075,2601.4504432678223,True,1000,0.0280539,0.03752366,0.0003675207049752811,0.10161304203904103,0.48758602835209824,0.04936590163571475,3
3,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,72885.4410648346,3443.1393146514893,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.0005662411869256026,64.82001676312872,0.03278324413482068,4
4,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,86754.49180603027,4362.881422042847,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,5
5,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,100575.4017829895,5201.224327087402,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,6
6,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,114429.15058135986,6087.049961090088,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.12159684906862535,0.5155455408493228,0.06265753149801845,7
7,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,128383.19635391235,6996.173620223999,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.0005662411869256026,64.82001676312872,0.03278324413482068,8
8,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,142503.5264492035,7785.133123397827,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.0005662411869256026,64.82001676312872,0.03278324413482068,9
9,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,156687.15643882751,8772.902488708496,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.0005662411869256026,64.82001676312872,0.03278324413482068,10
10,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,171496.21319770813,9597.21064567566,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,11
11,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,185911.19837760925,10619.519233703613,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,12
12,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,201260.6818675995,11437.742471694946,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,13
13,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,215878.13472747803,12130.75304031372,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,14
14,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,230523.86569976807,13032.509326934814,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,15
15,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,245296.73624038696,13896.571159362793,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,16
16,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,260280.0009250641,14786.247253417969,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.0005662411869256026,64.82001676312872,0.03278324413482068,17
17,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,275256.5279006958,15665.945053100586,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,18
18,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,290267.68684387207,16609.896898269653,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.0005662411869256026,64.82001676312872,0.03278324413482068,19
19,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,305752.78520584106,17365.041971206665,True,1000,0.0280539,0.03752366,9.312800161043915e-05,0.0005662411869256026,69.26315456417035,0.03276931168083113,20
20,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,321057.35087394714,18329.8499584198,True,1000,0.0280539,0.03752366,6.048315457858491e-05,0.000796296872648875,44.37769659021529,0.032653717927441546,21
21,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,336525.8147716522,19261.42978668213,True,1000,0.0280539,0.03752366,5.95781170224156e-05,0.000796296872648875,44.323706458999375,0.032654105867226474,22
22,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,352138.89932632446,20071.50673866272,True,1000,0.0280539,0.03752366,5.95781170224156e-05,0.000796296872648875,44.323706458999375,0.032654105867226474,23
23,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,371231.4829826355,21054.444074630737,True,1000,0.0280539,0.03752366,5.95781170224156e-05,0.0005662411869256026,64.70499329691134,0.03278363054187824,24
24,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,0.001,200,,1,387010.9612941742,21828.208684921265,True,1000,0.0280539,0.03752366,5.95781170224156e-05,0.0005662411869256026,64.70499329691134,0.03278363054187824,25
