,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,31441.69783592224,924.0970611572266,True,1000,0.0280539,0.03752366,0.0005662411869256026,0.0005662411869256026,inf,0.03256855993399902,1
1,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,46142.499685287476,1774.3074893951416,True,1000,0.0280539,0.03752366,0.0005662411869256026,0.02338427392746322,0.9579011623570288,0.021857420084861728,2
2,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,61622.997522354126,2651.597499847412,True,1000,0.0280539,0.03752366,0.0005662411869256026,0.03662495256498813,0.5393175450132511,0.019447095696758065,3
3,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,76557.99102783203,3434.6816539764404,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.03662495256498813,0.5416332370716179,0.01980452812229015,4
4,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,94066.68472290039,4395.228385925293,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.037400130005234886,0.5301208777394282,0.01979452263757608,5
5,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,107877.80666351318,5215.119361877441,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.037400130005234886,0.5301208777394282,0.01979452263757608,6
6,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,121840.21973609924,6204.995393753052,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.037400130005234886,0.5301208777394282,0.01979452263757608,7
7,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,135803.51161956787,6968.726634979248,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.037400130005234886,0.5301208777394282,0.01979452263757608,8
8,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,149848.5870361328,7867.751359939575,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.037400130005234886,0.5301208777394282,0.01979452263757608,9
9,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,164115.59748649597,8933.398962020874,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.037400130005234886,0.5301208777394282,0.01979452263757608,10
10,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,178733.12783241272,9682.893991470337,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.02338427392746322,0.9507907128634044,0.02217603697403646,11
11,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,193297.12581634521,11378.695726394653,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.0007963236783379151,44.376479192787755,0.032653699840323576,12
12,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,208077.082157135,11432.664632797241,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.0007963236783379151,44.376479192787755,0.032653699840323576,13
13,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,222634.00197029114,12156.97169303894,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.0007963236783379151,44.376479192787755,0.032653699840323576,14
14,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,239002.23803520203,13073.368072509766,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.02338427392746322,0.9507907128634044,0.02217603697403646,15
15,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,253826.12800598145,14058.773040771484,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.0007963236783379151,44.376479192787755,0.032653699840323576,16
16,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,268923.0229854584,14818.606615066528,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.0007963236783379151,44.376479192787755,0.032653699840323576,17
17,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,285601.3445854187,15664.24560546875,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.037400130005234886,0.5301208777394282,0.01979452263757608,18
18,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,300728.64603996277,16602.50425338745,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.02338427392746322,0.9507907128634044,0.02217603697403646,19
19,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,315967.22745895386,17448.955535888672,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.0007963236783379151,44.376479192787755,0.032653699840323576,20
20,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,331651.2334346771,18394.383907318115,True,1000,0.0280539,0.03752366,6.0490181983598816e-05,0.0009944872483602708,34.84204540255239,0.03254236819254674,21
21,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,347087.7435207367,19303.064584732056,True,1000,0.0280539,0.03752366,5.9571059120413056e-05,0.0009944872483602708,34.80821478169131,0.03254276351794133,22
22,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,362675.29249191284,22430.83119392395,True,1000,0.0280539,0.03752366,5.9571059120413056e-05,0.0009944872483602708,34.80821478169131,0.03254276351794133,23
23,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,378436.7632865906,21034.78693962097,True,1000,0.0280539,0.03752366,5.9571059120413056e-05,0.0009944872483602708,34.80821478169131,0.03254276351794133,24
24,random_mc2_n5_mid3_d1000_05_mr098_r10_39,GDCC,V1,V4,1e-05,200,,1,396451.14850997925,21809.547185897827,True,1000,0.0280539,0.03752366,5.9571059120413056e-05,0.0009944872483602708,34.80821478169131,0.03254276351794133,25
