,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,39992.98071861267,2299.052953720093,False,1000,0.0078950452954415,0.2507379400197757,0.10296874713523327,0.1356243441232848,3.232837370635426,0.1492988571347491,5
1,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,78900.74825286865,4525.008678436279,False,1000,0.0078950452954415,0.2507379400197757,0.09436514990255053,0.1356243441232848,2.4674323466933403,0.14397297993368402,10
2,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,117467.33689308167,7151.685953140259,False,1000,0.0078950452954415,0.2507379400197757,0.09436514990255053,0.1359385283388438,2.4445145517684157,0.1437218978202433,15
3,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,155465.45720100403,9251.861572265625,False,1000,0.0078950452954415,0.2507379400197757,0.09436514990255053,0.1359385283388438,2.4445145517684157,0.1437218978202433,20
4,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,193702.2864818573,11684.852123260498,False,1000,0.0078950452954415,0.2507379400197757,0.08728620723741692,0.1359385283388438,2.0286011331412213,0.13957743913965842,25
5,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,232713.03343772888,13583.71877670288,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,30
6,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,271289.18647766113,16816.676139831543,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,35
7,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,310050.51827430725,18146.450996398926,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,40
8,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,349424.92270469666,20889.52922821045,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,45
9,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,390457.2033882141,23497.318506240845,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,50
10,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,429487.3535633087,25202.261447906494,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,55
11,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,469397.6650238037,27371.65403366089,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,60
12,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,510727.5040149689,29796.405792236328,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,65
13,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,551974.2479324341,32407.560348510742,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,70
14,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,592361.9828224182,35007.99059867859,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,75
15,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,633057.7476024628,37265.580892562866,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,80
16,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,674093.9238071442,40289.49546813965,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,85
17,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,715209.7146511078,41060.79292297363,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,90
18,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,756390.0542259216,44368.34216117859,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,95
19,s123\random_mc2_n12_mid3_d1000_05_mr098_r10_154,GDCC,V5,V6,0.001,100,,1,797334.614276886,46350.9566783905,False,1000,0.0078950452954415,0.2507379400197757,0.06820355535387843,0.1359385283388438,1.3537350226024272,0.12967660277689522,100
