,modelname,method,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,pns_low_exact,pns_upp_exact,pns_low,pns_upp,rrmse,rmse,nruns
0,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,1531.0986042022705,93.7492847442627,True,1000,0.12079,0.5248300000000001,0.16852041029556958,0.37669154365767293,0.5286645652967011,0.1556380233569901,5
1,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,3254.774808883667,171.87738418579102,True,1000,0.12079,0.5248300000000001,0.16852041029556958,0.5012941777024387,0.11308168748708985,0.05321773199043535,10
2,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,5052.541732788086,281.67057037353516,True,1000,0.12079,0.5248300000000001,0.16852041029556958,0.524967602044687,0.09468621950725016,0.047730608641689425,15
3,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,6738.522052764893,375.0019073486328,True,1000,0.12079,0.5248300000000001,0.16852041029556958,0.524967602044687,0.09468621950725016,0.047730608641689425,20
4,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,8569.665908813477,571.3675022125244,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,25
5,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,10369.904041290283,579.1118144989014,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,30
6,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,12096.89211845398,748.3031749725342,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,35
7,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,13943.072080612183,892.3110961914062,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,40
8,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,15828.102827072144,1193.6626434326172,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,45
9,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,17692.497730255127,990.7913208007812,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,50
10,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,19537.5018119812,1243.6556816101074,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,55
11,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,21241.790056228638,1293.3235168457031,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,60
12,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,23222.070693969727,1448.538064956665,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,65
13,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,25072.003602981567,1514.6708488464355,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,70
14,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,26862.372159957886,1863.4514808654785,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,75
15,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,28718.738317489624,1869.9233531951904,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,80
16,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,30702.431201934814,1888.7431621551514,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,85
17,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,32514.09935951233,1689.2597675323486,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,90
18,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,34358.607053756714,2098.3283519744873,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,95
19,random_mc2_n5_mid3_d1000_05_mr098_r10_104,GDCC,V3,V4,0.001,100,,1,36295.50909996033,2087.5017642974854,True,1000,0.12079,0.5248300000000001,0.12092688032855832,0.524967602044687,0.00033967284399895813,0.00019408901836072507,100
