,modelname,method,query,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,exact_low,exact_upp,approx_low,approx_upp,rrmse,rmse,nruns
0,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,100,1,4860.536813735962,71.65122032165527,True,1000,1.0,1.0,0.9983306784022437,0.9993568400896334,1.2327182448327587,0.0012649682341937536,5
1,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,100,1,4860.536813735962,54.65102195739746,True,1000,1.0,1.0,0.9992850879230346,0.999724435994866,1.2331281177873465,0.0005417724608709983,5
2,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,100,1,4860.536813735962,48.447370529174805,True,1000,0.00658,0.00658,0.006559969818574114,0.006571649725174982,1.3137908573055848,1.5344954506404465e-05,5
3,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,100,1,4860.536813735962,52.04296112060547,True,1000,0.00658,0.00658,0.006570866752791027,0.006575851255486198,1.4230599751519992,7.093246281534582e-06,5
4,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,100,1,9838.287830352783,99.77078437805176,True,1000,1.0,1.0,0.997817025263986,0.9996921633410928,0.8313353219374886,0.001558868517008841,10
5,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,100,1,9838.287830352783,117.30194091796875,True,1000,1.0,1.0,0.9990653138543835,0.9998680874065535,0.8314580315350081,0.0006674725174556895,10
6,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V1,V0,,100,100,1,9838.287830352783,108.30378532409668,True,1000,0.00658,0.00658,0.006554147887602927,0.006575553343557663,0.8665381911629969,1.854864508403627e-05,10
7,simple_nparents2_nzr02_zdr05_2,EMCC,PN,V2,V0,,100,100,1,9838.287830352783,77.91781425476074,True,1000,0.00658,0.00658,0.006568392545053853,0.006577564844967332,0.91431675500607,8.386387492835005e-06,10
8,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V1,V0,,100,100,1,14774.85990524292,156.52823448181152,True,1000,1.0,1.0,0.9962813586575633,0.9998989323451858,0.7271303164830624,0.002630447500381747,15
9,simple_nparents2_nzr02_zdr05_2,EMCC,PS,V2,V0,,100,100,1,14774.85990524292,137.1321678161621,True,1000,1.0,1.0,0.9984088324167663,0.9999566871668767,0.7271626446896516,0.0011255421536857425,15
