,modelname,method,query,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,exact_low,exact_upp,approx_low,approx_upp,rrmse,rmse,nruns
0,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,0.01,100,,1,876.2509822845459,39.52789306640625,True,1000,1.0,1.0,0.00043374305741298295,0.0006075126929063148,5751.7492803836,1.4134772887118043,5
1,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,0.01,100,,1,876.2509822845459,38.40208053588867,True,1000,1.0,1.0,0.00043236912017737586,0.0005860395620117869,6504.1187275900775,1.4134934428645383,5
2,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,0.01,100,,1,876.2509822845459,38.91301155090332,True,1000,0.00658,0.00658,0.944003618218289,0.999583369820006,17.37347574320358,1.365583660003061,5
3,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,0.01,100,,1,876.2509822845459,38.290977478027344,True,1000,0.00658,0.00658,0.975380088187337,0.9998220433445136,40.139881500589716,1.3874809431264188,5
4,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,0.01,100,,1,1738.675832748413,77.36802101135254,True,1000,1.0,1.0,0.00043374305741298295,0.0007050182253337467,3684.195041599111,1.4134083495643588,10
5,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,0.01,100,,1,1738.675832748413,77.45623588562012,True,1000,1.0,1.0,0.00043236912017737586,0.0006652630150227549,4291.444356579703,1.413437428840603,10
6,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,0.01,100,,1,1738.675832748413,77.53992080688477,True,1000,0.00658,0.00658,0.944003618218289,0.999583369820006,17.37347574320358,1.365583660003061,10
7,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,0.01,100,,1,1738.675832748413,77.57377624511719,True,1000,0.00658,0.00658,0.975380088187337,0.9998220433445136,40.139881500589716,1.3874809431264188,10
8,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,0.01,100,,1,2603.315830230713,116.61696434020996,True,1000,1.0,1.0,0.0002951824585871553,0.0007050182253337467,2438.781584629782,1.413506343394164,15
9,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,0.01,100,,1,2603.315830230713,116.43099784851074,True,1000,1.0,1.0,0.00028679466927746477,0.0006652630150227549,2640.971167886903,1.413540381261696,15
