,modelname,method,query,cause,effect,tol,num_runs_param,max_iter_param,seed,tlearn,tinfer,remove_outliers,datasize,exact_low,exact_upp,approx_low,approx_upp,rrmse,rmse,nruns
0,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,1086.181879043579,51.2080192565918,False,1000,1.0,1.0,0.9999754734947008,0.999999996894813,0.7071963216974716,1.734285835483784e-05,5
1,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,1086.181879043579,52.9789924621582,False,1000,1.0,1.0,0.9999919832157927,0.999999985120572,0.7084228563869552,5.668732240239423e-06,5
2,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,1086.181879043579,59.26513671875,False,1000,0.00658,0.00658,0.006578545405547379,0.00658245724280987,0.5161626480546061,2.0191442801659227e-06,5
3,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,1e-09,100,,1,1086.181879043579,44.50106620788574,False,1000,0.00658,0.00658,0.006578568057668968,0.006582511839985264,0.5184059569811509,2.0444802458048303e-06,5
4,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,2252.7849674224854,101.96900367736816,False,1000,1.0,1.0,0.9999718953109505,0.999999996894813,0.7071849198455725,1.98730163313081e-05,10
5,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,2252.7849674224854,114.82691764831543,False,1000,1.0,1.0,0.999990771524144,0.9999999929209463,0.707649818955349,6.52551977771429e-06,10
6,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,2252.7849674224854,127.89797782897949,False,1000,0.00658,0.00658,0.006578469665036942,0.00658245724280987,0.5133304163602797,2.0469449584461404e-06,10
7,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,1e-09,100,,1,2252.7849674224854,116.77289009094238,False,1000,0.00658,0.00658,0.006578494235542099,0.006582511839985264,0.5154387836211307,2.070829147255842e-06,10
8,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,3628.3650398254395,176.5282154083252,False,1000,1.0,1.0,0.9999718953109505,0.999999996894813,0.7071849198455725,1.98730163313081e-05,15
9,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,3628.3650398254395,187.391996383667,False,1000,1.0,1.0,0.999990771524144,0.9999999929209463,0.707649818955349,6.52551977771429e-06,15
10,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,3628.3650398254395,179.51059341430664,False,1000,0.00658,0.00658,0.006578469665036942,0.00658245724280987,0.5133304163602797,2.0469449584461404e-06,15
11,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,1e-09,100,,1,3628.3650398254395,180.59802055358887,False,1000,0.00658,0.00658,0.006578494235542099,0.006582511839985264,0.5154387836211307,2.070829147255842e-06,15
12,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,5064.7571086883545,197.65210151672363,False,1000,1.0,1.0,0.9999718953109505,0.999999996894813,0.7071849198455725,1.98730163313081e-05,20
13,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,5064.7571086883545,268.31984519958496,False,1000,1.0,1.0,0.999990771524144,0.9999999978078062,0.7072748119172677,6.525518041940933e-06,20
14,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,5064.7571086883545,252.11691856384277,False,1000,0.00658,0.00658,0.006578469665036942,0.00658245724280987,0.5133304163602797,2.0469449584461404e-06,20
15,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,1e-09,100,,1,5064.7571086883545,232.6509952545166,False,1000,0.00658,0.00658,0.006578494235542099,0.006582511839985264,0.5154387836211307,2.070829147255842e-06,20
16,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,6358.997106552124,339.8010730743408,False,1000,1.0,1.0,0.9999718953109505,0.999999996894813,0.7071849198455725,1.98730163313081e-05,25
17,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,6358.997106552124,253.17001342773438,False,1000,1.0,1.0,0.9999906108439662,0.9999999978078062,0.7072719353366269,6.639136082057338e-06,25
18,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,6358.997106552124,293.41697692871094,False,1000,0.00658,0.00658,0.006578438622832457,0.00658245724280987,0.5122736563228875,2.0586331492014993e-06,25
19,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,1e-09,100,,1,6358.997106552124,295.3801155090332,False,1000,0.00658,0.00658,0.006578494235542099,0.006582511839985264,0.5154387836211307,2.070829147255842e-06,25
20,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,7759.026050567627,349.57289695739746,False,1000,1.0,1.0,0.9999709626357353,0.999999996894813,0.7071824096424884,2.0532517296782303e-05,30
21,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,7759.026050567627,358.3569526672363,False,1000,1.0,1.0,0.9999841925178836,0.9999999978078062,0.7072048636998346,1.1177577905463775e-05,30
22,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,7759.026050567627,414.1848087310791,False,1000,0.00658,0.00658,0.006578438622832457,0.00658245724280987,0.5122736563228875,2.0586331492014993e-06,30
23,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,1e-09,100,,1,7759.026050567627,423.39468002319336,False,1000,0.00658,0.00658,0.006578494235542099,0.006582511839985264,0.5154387836211307,2.070829147255842e-06,30
24,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,9116.739273071289,412.65392303466797,False,1000,1.0,1.0,0.9999709626357353,0.999999996894813,0.7071824096424884,2.0532517296782303e-05,35
25,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,9116.739273071289,387.41517066955566,False,1000,1.0,1.0,0.9999841925178836,0.9999999978078062,0.7072048636998346,1.1177577905463775e-05,35
26,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,9116.739273071289,379.40311431884766,False,1000,0.00658,0.00658,0.006578059233227674,0.00658245724280987,0.5034358832023538,2.2141158383453707e-06,35
27,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V2,V0,1e-09,100,,1,9116.739273071289,391.79420471191406,False,1000,0.00658,0.00658,0.006578080559159568,0.006582511839985264,0.504448184261583,2.235351566475558e-06,35
28,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V1,V0,1e-09,100,,1,10470.243215560913,420.1657772064209,False,1000,1.0,1.0,0.9999709626357353,0.999999996894813,0.7071824096424884,2.0532517296782303e-05,40
29,simple_nparents2_nzr02_zdr05_2,GDCC,PS,V2,V0,1e-09,100,,1,10470.243215560913,425.19593238830566,False,1000,1.0,1.0,0.9999841925178836,0.9999999978078062,0.7072048636998346,1.1177577905463775e-05,40
30,simple_nparents2_nzr02_zdr05_2,GDCC,PN,V1,V0,1e-09,100,,1,10470.243215560913,501.82294845581055,False,1000,0.00658,0.00658,0.006578059233227674,0.00658245724280987,0.5034358832023538,2.2141158383453707e-06,40
